name,train_oof_path,te_path,train_oof_rae,te_unblind_rae,tr_std,te_std
oof_nb292_molrule,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb292_molrule.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb292_molrule.npy,0.2872145732602968,0.7442950849289286,1.003022151389184,0.5319687197456273
oof_nb284_multimetric_biomech,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb284_multimetric_biomech.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb284_multimetric_biomech.npy,0.28816060568055907,0.7480563691963682,1.0252372672863213,0.5845305794896524
oof_delta_5tiers,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_delta_5tiers.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_oof_delta_5tiers.npy,0.2888223316860953,0.802675731403343,0.9431812425176475,0.5445326341462007
oof_nb224_pool_plus_2,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb224_pool_plus_2.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb224_pool_plus_2.npy,0.2890874105958316,0.7509481358150755,1.0306602175857285,0.5977829261997223
oof_nb293_conformal,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb293_conformal.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb293_conformal.npy,0.2896071305910552,0.7601500182850243,0.9807129892920761,0.4826770712865395
oof_nb223_pool_plus_nb219,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb223_pool_plus_nb219.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb223_pool_plus_nb219.npy,0.2924222449628727,0.7474848023716284,1.0297105306020788,0.5972321077496301
oof_nb319_ood_blend,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb319_ood_blend.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb319_ood_blend.npy,0.29308144630329397,0.7092895781224168,0.9601634658765325,0.5340971008363763
oof_nb179_stack,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb179_stack.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb179_stack.npy,0.2932011111294729,0.7460093119867877,1.0157445956153892,0.5591728806455424
oof_nb288_gp_corrected,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb288_gp_corrected.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb288_gp_corrected.npy,0.2933320926321004,0.7409898506941832,1.0098322256692631,0.5381967436627761
oof_nb145_xgb_stack,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb145_xgb_stack.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb145_xgb_stack.npy,0.2939015525197191,0.7537725153868888,1.017495430725494,0.5939186215400696
oof_nb145_lgb_stack,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb145_lgb_stack.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb145_lgb_stack.npy,0.29502843982221794,0.7528803557939121,1.0167721559943643,0.5972082931367864
oof_nb175_stack_nb224_eng,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb175_stack_nb224_eng.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb175_stack_nb224_eng.npy,0.29612389431732083,0.7484859413794108,1.0209163745547623,0.573003754635264
oof_nb214_div15_nb212_blend,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb214_div15_nb212_blend.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb214_div15_nb212_blend.npy,0.296169099870256,0.7729642618342095,1.020034719976675,0.591620138075177
oof_nb219_diversity_blend,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb219_diversity_blend.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb219_diversity_blend.npy,0.2961721985813763,0.7730601662821059,1.0201469206692706,0.5916852140606853
oof_nb212_nb211_blend,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb212_nb211_blend.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb212_nb211_blend.npy,0.2961722037574173,0.7730474874032964,1.0201498966530556,0.5916869400589516
oof_nb207_fine_alpha_min,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb207_fine_alpha_min.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb207_fine_alpha_min.npy,0.2964000711793512,0.7754984772881818,1.0236816069758206,0.5937449015590271
oof_nb205_ratio_inflate,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb205_ratio_inflate.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb205_ratio_inflate.npy,0.29648446609337187,0.7760743976231657,1.0235430389861138,0.5992362047974162
oof_nb176_stack_nb224,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\oof_nb176_stack_nb224.npy,d:/Users/ashenoy00000/.windsurf/OpenADMET-pxr-challenge\data\processed\te_nb176_stack_nb224.npy,0.2967126742933529,0.7485635123392238,1.0175914403671444,0.5715624833572268
