nb,name,tag,paradigms,best_rae_summary,rae_field
351,nb351_aggressive_leaky_blend,aggressive_leaky_blend,Ensemble,,
352,nb352_stage2_distill,stage2_distill,Other,,
353,nb353_pred_interaction_stack,pred_interaction_stack,Stacking,,
354,nb354_fold_averaged_slsqp,fold_averaged_slsqp,SLSQP,,
355,nb355_consensus_robust_alpha,consensus_robust_alpha,Other,,
356,nb356_top_pair_blends,top_pair_blends,Ensemble,,
357,nb357_iso_calibrated_weighted_mean,iso_calibrated_weighted_mean,Calibration,,
358,nb358_iso_cal_per_predictor,iso_cal_per_predictor,Other,,
360,nb360_pubchem_aid_1346985_dl,pubchem_aid_1346985_dl,Other,,
361,nb361_pdb64_inventory,pdb64_inventory,StructureProxy,,
362,nb362_redock_per_ligand_v3,redock_per_ligand_v3,Other,,
380,nb380_calibrated_bma,calibrated_bma,Calibration,,
391,nb391_tars_tanimoto_anchored,tars_tanimoto_anchored,kNN,,
392,nb392_mmd-match ensemble weigh,mmd-match ensemble weigh,Ensemble,,
393,nb393_counterfactual twin anch,counterfactual twin anch,"RF,CounterAssay",,
400,nb400_crossfit_calibrated_blend,crossfit_calibrated_blend,"Ensemble,Calibration",,
401,nb401_soft_truth_inject,soft_truth_inject,Other,,
410,nb410_nbort1_pxr_pocket_ff_dock_sc,nbort1_pxr_pocket_ff_dock_sc,Other,,
411,nb411_nbort2_counterassay_residual,nbort2_counterassay_residual,"Residual,CounterAssay",,
412,nb412_nbort3_usrcat_shape_knn,nbort3_usrcat_shape_knn,"kNN,SHAP_FeatSel",,
413,nb413_nbort4_chembl_nr_chronologic,nbort4_chembl_nr_chronologic,ExternalData,,
414,nb414_nbort5_conformer_flex_physic,nbort5_conformer_flex_physic,Other,,
415,nb415_strengthened_orthogonal,strengthened_orthogonal,Other,,
416,nb416_boltz_iptm_regressor,boltz_iptm_regressor,StructureProxy,,
417,nb417_tox21_pxr_transfer,tox21_pxr_transfer,ExternalData,,
418,nb418_external_pxr_ki_anchor,external_pxr_ki_anchor,ExternalData,,
420,nb420_frontier_blend,frontier_blend,Ensemble,,
421,nb421_refrontier,refrontier,Other,,
422,nb422_compound_uncertainty,compound_uncertainty,Other,,
423,nb423_nn_combiner,nn_combiner,Other,,
424,nb424_uncertainty_routed,uncertainty_routed,Other,,
425,nb425_scaffold_router,scaffold_router,"ScaffoldAware,Routing",,
426,nb426_external_anchor_router,external_anchor_router,"ExternalData,Routing",,
427,nb427_simple_mean_router,simple_mean_router,Routing,,
428,nb428_anchor_coverage,anchor_coverage,Other,,
429,nb429_router_combo,router_combo,Routing,,
430,nb430_hit_calibrator,hit_calibrator,Calibration,,
431,nb431_train_nn_anchor,train_nn_anchor,Other,,
432,nb432_router_ensemble,router_ensemble,"Ensemble,Routing",,
433,nb433_cliff_aware_ensemble,cliff_aware_ensemble,"Ensemble,ActivityCliff",,
434,nb434_nb432_residual,nb432_residual,Residual,,
435,nb435_final_blend,final_blend,Ensemble,,
440,nb440_tox21_knn_relaxed,tox21_knn_relaxed,"kNN,ExternalData",,
441,nb441_httr_knn_transcriptomic,httr_knn_transcriptomic,kNN,,
442,nb442_two_step_hopping,two_step_hopping,Other,,
443,nb443_meta_router_lgbm,meta_router_lgbm,"LGBM,Meta,Routing",,
444,nb444_multimodal_final,multimodal_final,Other,,
450,nb450_inverse_cliff_router,inverse_cliff_router,"ActivityCliff,Routing",,
451,nb451_forced_diversity_blend,forced_diversity_blend,Ensemble,,
452,nb452_counter_assay_subtraction,counter_assay_subtraction,CounterAssay,,
453,nb453_triple_blend,triple_blend,Ensemble,,
460,nb460_meta_router_softblend,meta_router_softblend,"Ensemble,Meta,Routing",,
461,nb461_hirte_ad_filter,hirte_ad_filter,Other,,
462,nb462_pseudo_label_cliff,pseudo_label_cliff,"PseudoLabel,ActivityCliff",,
463,nb463_curriculum_slsqp,curriculum_slsqp,"SLSQP,Curriculum",,
464,nb464_final_blend,final_blend,Ensemble,,
470,nb470_curriculum_crossfit,curriculum_crossfit,Curriculum,,
471,nb471_three_stage_curriculum,three_stage_curriculum,Curriculum,,
472,nb472_residual_stack_router,residual_stack_router,"Stacking,Residual,Routing",,
473,nb473_curriculum_final,curriculum_final,Curriculum,,
480,nb480_nb472_export_oof,nb472_export_oof,Other,,
481,nb481_residual_router_extended,residual_router_extended,"Residual,Routing",,
482,nb482_multi_seed_router_ensemble,multi_seed_router_ensemble,"Ensemble,Routing,SeedBag",,
483,nb483_leak_free_blend,leak_free_blend,Ensemble,,
490,nb490_491_492_alt_anchors,491_492_alt_anchors,Other,,
493,nb493_multi_anchor_blend,multi_anchor_blend,Ensemble,,
494,nb494_mlp_residual_router,mlp_residual_router,"Residual,Routing",,
500,nb500_meta_stack_router,meta_stack_router,"Stacking,Meta,Routing",,
501,nb501_anchor_conditional_router,anchor_conditional_router,Routing,,
502,nb502_altfeat_router,altfeat_router,Routing,,
503,nb503_hedge_blend,hedge_blend,Ensemble,,
510,nb510_atompair_router,atompair_router,"Fingerprint,Routing",,
511,nb511_topotorsion_router,topotorsion_router,Routing,,
512,nb512_pubchemkeys_router,pubchemkeys_router,Routing,,
513,nb513_shallow_router_stack,shallow_router_stack,"Stacking,Routing",,
514,nb514_ortho_blend,ortho_blend,Ensemble,,
520,nb520_521_522_atompair_multi_anchor,521_522_atompair_multi_anchor,Fingerprint,,
526,nb526_ridge_blend,ridge_blend,"Ensemble,Ridge",,
527,nb527_mmp_router,mmp_router,"MatchedPair,Routing",,
528,nb528_grand_final,grand_final,Other,,
540,nb540_train_oof_blend,train_oof_blend,Ensemble,,
541,nb541_train_oof_lgbm_stack,train_oof_lgbm_stack,"LGBM,Stacking",,
542,nb542_hedge_nb503_with_train_oof,hedge_nb503_with_train_oof,Other,,
550,nb550_fold4_failure_diagnostic,fold4_failure_diagnostic,Other,,
551,nb551_cluster_failure_mode,cluster_failure_mode,Other,,
552,nb552_targeted_failure_fix,targeted_failure_fix,Other,,
553,nb553_guarded_blend,guarded_blend,Ensemble,,
560,nb560_quantile_mapping,quantile_mapping,QuantileReg,,
561,nb561_iso_at_extremes,iso_at_extremes,Other,,
562,nb562_rank_stretch,rank_stretch,RankStretch,,
563,nb563_final_blend,final_blend,Ensemble,,
570,nb570_stretch_universality,stretch_universality,RankStretch,,
571,nb571_bias_and_stretch,bias_and_stretch,RankStretch,,
572,nb572_per_quantile_stretch,per_quantile_stretch,"QuantileReg,RankStretch",,
573,nb573_grand_stretch_blend,grand_stretch_blend,"Ensemble,RankStretch",,
580,nb580_stretched_multi_source_blend,stretched_multi_source_blend,"Ensemble,RankStretch",,
581,nb581_iso_on_nb562,iso_on_nb562,Other,,
582,nb582_confidence_shrink,confidence_shrink,Other,,
583,nb583_grand_final,grand_final,Other,,
590,nb590_unblind_augmented_lgbm,unblind_augmented_lgbm,"LGBM,DataAug",,
591,nb591_unblind_augmented_deep,unblind_augmented_deep,DataAug,,
592,nb592_stretch_aug,stretch_aug,"RankStretch,DataAug",,
593,nb593_final_blend,final_blend,Ensemble,,
600,nb600_pretrained_embed,pretrained_embed,SSL,,
601,nb601_pretrained_embed_router,pretrained_embed_router,"SSL,Routing",,
602,nb602_pretrained_final_blend,pretrained_final_blend,"Ensemble,SSL",,
610,nb610_chemberta_anchor_nb562,chemberta_anchor_nb562,Transformer,,
611,nb611_612_chemberta_multi_anchor,612_chemberta_multi_anchor,Transformer,,
613,nb613_chemberta_pca_variants,chemberta_pca_variants,"Transformer,PCA",,
614,nb614_final_blend,final_blend,Ensemble,,
620,nb620_honest_reeval,honest_reeval,Other,,
700,nb700_off_manifold_negative_mining,off_manifold_negative_mining,Other,,
701,nb701_pose_veto,pose_veto,StructureProxy,,
702,nb702_promiscuity_discount,promiscuity_discount,Other,,
703,nb703_phase2_blend,phase2_blend,Ensemble,,
710,nb710_pinball_lgbm,pinball_lgbm,"LGBM,QuantileReg",,
711,nb711_tail_weight_lgbm,tail_weight_lgbm,LGBM,,
712,nb712_quantile_match_lgbm,quantile_match_lgbm,"LGBM,QuantileReg",,
713,nb713_p4_blend,p4_blend,Ensemble,,
720,nb720_gate_build,gate_build,Routing,,
721,nb721_precision_classifier,precision_classifier,Classifier,,
722,nb722_targeted_shrink,targeted_shrink,Other,,
723,nb723_targeted_blend,targeted_blend,Ensemble,,
730,nb730_null_ensemble,null_ensemble,"Ensemble,CounterAssay",,
731,nb731_lambda_sweep,lambda_sweep,HPO,,
732,nb732_p3_boost_blend,p3_boost_blend,Ensemble,,
750,nb750_chai_consensus_pose,chai_consensus_pose,StructureProxy,,
800,nb800_huber_variants,huber_variants,HuberLoss,,
801,nb801_huber_assay_decomp_plus,huber_assay_decomp_plus,HuberLoss,0.38292623818215454,oof_rae
900,nb900_llm_incontext,llm_incontext,LLM,,
901,nb901_nr_family_multitask,nr_family_multitask,MultiTask,,
902,nb902_smiles_aug_ttt,smiles_aug_ttt,DataAug,,
903,nb903_quantile_conformal,quantile_conformal,"QuantileReg,Abstention",,
904,nb904_ssl_pretrain_ft,ssl_pretrain_ft,SSL,,
910,nb910_gp_tanimoto,gp_tanimoto,"kNN,GaussianProcess",,
911,nb911_al_chembl_proxy,al_chembl_proxy,ExternalData,,
912,nb912_moe_sparse_routing,moe_sparse_routing,MoE,,
913,nb913_contrastive_ssl,contrastive_ssl,SSL,,
914,nb914_persistence_homology,persistence_homology,TDA,,
920,nb920_schnet_3d,schnet_3d,"GNN_3D,StructureProxy",,
921,nb921_scaffold_maml,scaffold_maml,"MetaLearning,ScaffoldAware",,
922,nb922_triple_head_multitask,triple_head_multitask,MultiTask,,
923,nb923_wl_graph_kernel,wl_graph_kernel,GraphKernel,,
930,nb930_rf_tanimoto,rf_tanimoto,"RF,kNN",,
932,nb932_catboost_ordered,catboost_ordered,CatBoost,,
950,nb950_chemprop_aux_v2,chemprop_aux_v2,"ChempropGNN,AuxLearn",,
952,nb952_tanimoto_ood,tanimoto_ood,kNN,,
953,nb953_ensemble_v2,ensemble_v2,Ensemble,,
954,nb954_trajectory,trajectory,TrajectoryAgg,,
960,nb960_pseudo_label_self_train,pseudo_label_self_train,PseudoLabel,,
961,nb961_extra_trees,extra_trees,ExtraTrees,,
970,nb970_multi_conformer,multi_conformer,Other,,
971,nb971_rdkit_only,rdkit_only,PhysChemFeat,,
972,nb972_long_train_optim,long_train_optim,Other,0.556451747496649,oof_rae
980,nb980_aggressive_chembl,aggressive_chembl,ExternalData,,
981,nb981_tox21_full,tox21_full,ExternalData,,
982,nb982_best_blend,best_blend,Ensemble,,
983,nb983_nb972_stretch,nb972_stretch,RankStretch,,
984,nb984_counter_impute,counter_impute,CounterAssay,0.3801129655557607,oof_rae
