file,nb_num,in_RAE,n_test
te_nb195_expanded,195.0,0.7732570051428495,513
te_nb119_optuna_ensemble,119.0,0.7734997414533941,513
te_nb194_constrained,194.0,0.7735780567370824,513
te_nb199_external_pxr,199.0,0.7737331472958858,513
te_nb202_ridge_baseline,202.0,0.774861322350164,513
te_nb207_fine_alpha_min,207.0,0.7754984772881818,513
te_nb205_ratio_inflate,205.0,0.7760743976231657,513
te_nb167_xgboost_mae,167.0,0.7761600675476814,513
te_nb211_div15_chemprop_blend,211.0,0.776558503538066,513
te_nb192_poly_variant,192.0,0.7768142297268482,513
te_nb177_xgb_histgb,177.0,0.7773532099141724,513
te_nb154_lgbm_mae_filtered,154.0,0.7774467299831526,513
te_oof_scaffold_aware_knn,,0.777667484748741,513
te_oof_nested_cv_ensemble,,0.7781733420905212,513
te_nb187_diversity_qreg,187.0,0.7788578445178853,513
te_oof_lgbm_crc_singleconc_fdr,,0.7791063581474701,513
te_nb221_singleconc_aux,221.0,0.7812597132873487,513
te_nb209_direct_best_inflate,209.0,0.7856395595149338,513
te_nb281_precision,281.0,0.7864916665288118,513
te_nb230_top_torsion,230.0,0.7869202316063406,513
te_nb230_maccs,230.0,0.7890505478972061,513
te_nb94_chemberta_mtr,94.0,0.7895083239870764,513
te_chemberta_mtr,,0.7908961353253003,513
te_oof_nested_3tier_rdkit,,0.7923444787601154,513
te_oof_allfp_adaptive_rdkit,,0.7957942099769034,513
te_oof_grand_v9,,0.7984748782336399,513
te_oof_delta_ensemble_blend,,0.800471667399307,513
te_crossattn_chemberta_esm2,,0.8013212579271347,513
te_nb265_binary,265.0,0.8013355403695145,513
te_oof_delta_5tiers,,0.802675731403343,513
te_nb300_diffusion_aug,300.0,0.8029977071939178,513
te_nb230_atom_pair,230.0,0.8030507420093621,513
te_nb265_10cls,265.0,0.8031094801935087,513
te_nb118_rf,118.0,0.8072162612219069,513
te_crossattn_grover_esm2,,0.8089319569136727,513
te_oof_counter_delta,,0.8095512099607401,513
te_oof_grand_v8,,0.811674235359174,513
te_oof_full_desc_delta_3tier,,0.8127950578363149,513
te_nb311_stable,311.0,0.8148888255877559,513
te_oof_grand_v10,,0.8164649282752143,513
te_oof_blend_optimizer,,0.8164649282752143,513
te_oof_allfp_delta_3tier,,0.8171364885241714,513
te_oof_delta_similarity_tiers,,0.8200515043566123,513
te_nb137_counter_delta_exp,137.0,0.82105712425527,513
te_oof_delta_uncertainty,,0.8211060520672151,513
te_oof_enhanced_delta_3tier,,0.8211098858175988,513
te_chemberta_esm2_nr,,0.8212612289513135,513
te_nb230_ecfp8,230.0,0.8218081429518042,513
te_oof_multi_template_delta,,0.82215320120539,513
te_oof_reverse_delta_ml,,0.8231991861164584,513
te_nb215_chemist_features,215.0,0.8259669575639759,513
