model,rae,spearman,kendall,r2,mae,te_std
nb170_boltz_feat,0.7273664336031687,0.7076470312926079,0.506600680402887,0.3873248116168928,0.5809205447007778,0.5512910756298567
nb99_sc_bio_fp,0.727941258303133,0.7140605759879803,0.5101795660424686,0.38441051106901203,0.5813796358306181,0.6342307873247801
nb245_massive_mean,0.7279936725019484,0.705317628895161,0.5027706448938609,0.39462600302731143,0.581421497103725,0.5370762348175049
nb220_mmp_features,0.7281015855541658,0.6955183550590427,0.49529893627789223,0.37889458309177193,0.5815076832489449,0.5600495666219377
nb310_az,0.7281105391373315,0.7011545677630291,0.500447508601501,0.382413521693978,0.5815148341431424,0.5538161730882525
nb245_massive_trim,0.7281640836447186,0.7053602376554134,0.5023939200896944,0.39250361077061546,0.5815575981517082,0.5378731795926198
nb280_combined,0.7283830868847938,0.7009007677563087,0.4983127347112241,0.376629450002831,0.5817325079023348,0.5562345193262007
nb295_rag,0.7287049696924365,0.6348082819186472,0.46120534150082493,0.3262879946790521,0.5819895837410141,0.47507278241717954
nb275_combined,0.7290725880020815,0.7023305695459934,0.501326533144556,0.38680470591562544,0.5822831868258073,0.5620243600178598
oof_graph_spreading,0.7291397953697568,0.6839276607375329,0.4872621404556738,0.34784694528570026,0.5823368628532319,0.5714044512925686
nb308_active,0.7297975172397835,0.6726526417528491,0.4763999086022067,0.37005735803238715,0.5828621608726975,0.513671557403759
nb291,0.7301964654549028,0.7160450326828628,0.5123771274001064,0.3672348290070564,0.5831807859889082,0.5562956897230976
nb313_admet,0.7302715060962478,0.7005558220537441,0.4999452088626123,0.3786356380283422,0.5832407181609619,0.5642305164132063
nb132_tanimoto,0.731318800094459,0.7024565432719568,0.5007614459383063,0.3881214769394281,0.5840771529643786,0.545301991863141
nb140_xgb_lgbm_meta,0.7313835283496438,0.6514771994403173,0.4676096631716552,0.3098982364100006,0.5841288490167702,0.6223514444966178
nb213_chemberta_mtr,0.7316958727389314,0.6742565233460589,0.47957819785023265,0.40592722634364053,0.5843783068751158,0.5734350085258484
nb263_pxr_active_knn,0.7318409814233527,0.6974635375923012,0.4947966365390036,0.3804410425193596,0.5844941997897467,0.5517854069795032
nb128_et_aug,0.7319943010788307,0.672896437963684,0.4790997696987332,0.3223706628423486,0.5846166505018758,0.6310171196994471
nb298_pose_ifp,0.7334834022079733,0.7008007297974553,0.4973709227008079,0.3783101745803493,0.5858059402451086,0.5550482938205084
nb283_rnn_transformer_mpnn,0.7339332064324727,0.6782543969376749,0.4808578187848435,0.39305630610014597,0.5861651821664199,0.5263553261756897
nb125_ridge,0.7339665900640079,0.6802277383037959,0.4855668788369246,0.31991064604520325,0.5861918444325344,0.6067812463329427
nb251_smarts,0.7342871755815014,0.6974305621169755,0.49718256029872465,0.3752752512632822,0.5864478841737731,0.557281686309198
nb148_pxr_network,0.7343437490671652,0.6981615802385219,0.4965546856251139,0.3791008419787445,0.5864930673147446,0.5533632598959702
nb163_lgbm_colsample,0.7343727199362977,0.6623905997292945,0.47005837439873743,0.3146061714188093,0.5865162052714875,0.5937958140610281
nb315_v2_nb145_enh,0.7344159703779576,0.656809529578968,0.4645717577761026,0.34596885070009653,0.5865507477922404,0.5967688192648097
nb115_extreme_weighted,0.7346748528708775,0.6766904701809351,0.484373916957064,0.31766944966115995,0.586757507620372,0.6693397983984433
nb145_level3_meta,0.7356692895353134,0.6520570490907077,0.46717015090012765,0.3209684439262812,0.5875517272352541,0.5958211952925175
nb124_scaffold_specific,0.7363830502105629,0.6821128980617424,0.48908297700914516,0.2940542794589589,0.5881217813662896,0.6084044319157966
nb128_rf_et_aug,0.7376415754873744,0.6698927056213742,0.4787230448945667,0.3133511434951446,0.5891269187434756,0.6295553031485954
nb281_relabeled,0.7377742162149558,0.6913645567008786,0.4902131514216446,0.371904550106107,0.589232853964234,0.5328923494492885
nb144_grand_v10,0.7379356684160663,0.6480088463557777,0.4642191399341568,0.31811738297921244,0.5893617998383894,0.5973341637870961
nb319_strict_ood,0.7382227020558056,0.7587397514776145,0.5490450083389781,0.4612540951287699,0.5895910429415099,0.6237236312761898
nb147_oofrdkit_meta,0.7386897504095852,0.6511089115473537,0.46541210181401743,0.3390035690708538,0.5899640571081591,0.6142680112740692
nb123_fair_1.0,0.7390725261985823,0.6596199187800169,0.47131412374595905,0.3067705563224321,0.5902697659085241,0.6327044393083066
nb118_et,0.7393264591085369,0.6914634831268558,0.49247350024664355,0.35774099319476094,0.5904725726886466,0.5039472067590755
lgbm_tuned,0.7393577731093236,0.7019244895352408,0.505156568653582,0.4123903370197948,0.5904975820175808,0.671202062704434
nb312_relabeled,0.7395494254560134,0.6965669010722086,0.49555008614733653,0.3671102772475189,0.5906506476259026,0.5299381660598538
nb146_chembl_analogy,0.7400173682720341,0.6884112138489541,0.4882667399334511,0.36284259175264855,0.5910243761663097,0.5514473507993541
nb116_quantile_q50,0.7404252383345625,0.673946466020685,0.4814229059910932,0.30976430253070264,0.5913501268305482,0.6374543500003894
nb143_oofassay_meta,0.7404641149727479,0.6459032325773952,0.4613309164355471,0.31698460964132635,0.5913811761569777,0.6062152739358242
nb268_gated,0.7404699518858342,0.6605947331123984,0.46673063862860015,0.3536719101055178,0.5913858378825851,0.5324180652429048
nb177_bootstrap,0.7407184623919,0.7041816422957381,0.5027078574264999,0.3872071085372123,0.5915843139901948,0.40563602063460896
nb288_gp_corrected,0.7409898506941832,0.6607659091753253,0.46729572583484985,0.35511167919384923,0.5918010617436028,0.5381967436627761
nb148_meta_disagreement,0.7418351649035628,0.6687222615027907,0.4823019305341483,0.33397871142941005,0.5924761827943825,0.6977190002184452
nb302_full_pool,0.7422746054881567,0.6585232063422177,0.46478422714040657,0.35379369503920377,0.5928271476615697,0.5369278769094781
nb317_anchored,0.7422747573667317,0.658665112039406,0.4649098020751287,0.353764829906031,0.5928272689613443,0.537038755925859
nb304_cel,0.7423068173433498,0.6584328016682911,0.4646586522056844,0.3537910422544128,0.592852874073458,0.5368264642690322
nb265_5cls,0.7427592165425242,0.6917784174417643,0.4977476475049744,0.33353358522405474,0.593214188504624,0.42463616443708513
nb117_knn_residual,0.742958711288211,0.6730450128581291,0.4823019305341483,0.29178094236626784,0.5933735175456346,0.6096765232384012
nb109_deep_meta_stack,0.742958711288211,0.6730450128581291,0.4823019305341483,0.29178094236626784,0.5933735175456346,0.6096765232384012
nb144_full_papyrus,0.743579856200664,0.703543992935788,0.5014521080792782,0.37379584725323933,0.5938696029081292,0.5413488841962588
nb122_nonlinear_meta,0.7437111972353837,0.6691068518779377,0.4781579576883169,0.2978252903944921,0.5939745001124901,0.5825231711670803
nb179_fresh,0.7437679897822748,0.6899432766632444,0.488957402074423,0.32486372072335856,0.5940198582095243,0.4523976021872705
nb107_assay_decomp,0.7439500623432751,0.6606573494644215,0.4649098020751287,0.31987833028107215,0.5941652727989596,0.6337795817911643
nb123_mse_reference,0.7439849947155796,0.6629945325920014,0.4737628349730412,0.3025889063986644,0.594193171986782,0.6342544337210699
nb151_3d_quantum,0.7440169188834697,0.6879955005532749,0.48675984071678513,0.3770237204627067,0.5942186686335106,0.5312582655204748
nb123_lad_l1,0.7440479936850641,0.6627399915633636,0.47012116186609854,0.3001347989628934,0.5942434869229377,0.5902084366867704
nb109_deep_meta_stack_calib,0.7441261672821375,0.6730450128581291,0.4823019305341483,0.2922307598712829,0.5943059212703246,0.610533403534295
nb292_molrule,0.7442950849289286,0.6559174027695688,0.46177042870707463,0.35079865991821735,0.594440829518561,0.5319687197456273
nb107_assay_decomp_calib,0.7447127733212566,0.6606573494644215,0.4649098020751287,0.3183391876342001,0.5947744217180035,0.6347508963162714
nb121_test_sim_weighted,0.7448248151265504,0.6629949031029602,0.47514415925498504,0.2998539022894269,0.5948639053448986,0.6330517619927238
nb250_hbond_corr,0.7449341467024203,0.65468211923321,0.45982401721888116,0.3510182424313084,0.5949512244122533,0.5318486513291353
nb133_interactions,0.7452927411946758,0.6977195606647739,0.4965546856251139,0.3702030086673882,0.5952376205093839,0.5487836979283491
nb269_routed,0.7454121573359932,0.6546328412757008,0.46038910442513087,0.35015450888827704,0.5953329937444624,0.5313191011538219
nb314_slsqp5,0.7454122186405655,0.6546328412757008,0.46038910442513087,0.35015433038433497,0.5953330427061465,0.5313193155933155
nb239_full_slsqp,0.745412218640566,0.6546328412757008,0.46038910442513087,0.3501543303843354,0.5953330427061468,0.531319315593315
