submitted_at,model_stem,local_oof_rae,local_ratio,leaderboard_rae,leaderboard_rank,note,timestamp_utc,track,user_rank,lb_score,n_submissions_visible
,,,,,,,2026-06-02 04:46:01 UTC,activity,270.0,0.58,338.0
,,,,,,,2026-06-02 04:46:01 UTC,structure,,,0.0
,,,,,,,2026-06-02 05:46:04 UTC,activity,270.0,0.58,338.0
,,,,,,,2026-06-02 05:46:04 UTC,structure,21.0,0.4702,48.0
,,,,,,,2026-06-02 07:48:02 UTC,activity,270.0,0.58,338.0
,,,,,,,2026-06-02 07:48:02 UTC,structure,10.0,0.4996,48.0
,,,,,,,2026-06-02 08:46:14 UTC,activity,270.0,0.58,338.0
,,,,,,,2026-06-02 08:46:14 UTC,structure,10.0,0.4996,48.0
,,,,,,,2026-06-02 09:46:50 UTC,activity,270.0,0.58,338.0
,,,,,,,2026-06-02 09:46:51 UTC,structure,10.0,0.4996,48.0
,,,,,,,2026-06-02 10:46:00 UTC,activity,270.0,0.58,338.0
,,,,,,,2026-06-02 10:46:00 UTC,structure,10.0,0.4996,48.0
,,,,,,,2026-06-02 11:46:19 UTC,activity,270.0,0.58,338.0
,,,,,,,2026-06-02 11:46:19 UTC,structure,10.0,0.4996,48.0
,,,,,,,2026-06-02 12:46:08 UTC,activity,270.0,0.58,338.0
,,,,,,,2026-06-02 12:46:09 UTC,structure,10.0,0.4996,48.0
,,,,,,,2026-06-02 13:46:06 UTC,activity,270.0,0.58,338.0
,,,,,,,2026-06-02 13:46:07 UTC,structure,29.0,0.4583,48.0
,,,,,,,2026-06-02 14:46:00 UTC,activity,270.0,0.58,338.0
,,,,,,,2026-06-02 14:46:00 UTC,structure,29.0,0.4583,48.0
,,,,,,,2026-06-02 15:46:03 UTC,activity,270.0,0.58,338.0
,,,,,,,2026-06-02 15:46:03 UTC,structure,29.0,0.4583,48.0
,,,,,,,2026-06-02 16:46:00 UTC,activity,270.0,0.58,338.0
,,,,,,,2026-06-02 16:46:00 UTC,structure,29.0,0.4583,48.0
,,,,,,,2026-06-02 17:46:11 UTC,activity,270.0,0.58,338.0
,,,,,,,2026-06-02 17:46:11 UTC,structure,9.0,0.4996,48.0
,,,,,,,2026-06-02 18:46:01 UTC,activity,270.0,0.58,338.0
,,,,,,,2026-06-02 18:46:01 UTC,structure,9.0,0.4996,48.0
,,,,,,,2026-06-02 19:46:03 UTC,activity,270.0,0.58,338.0
,,,,,,,2026-06-02 19:46:03 UTC,structure,9.0,0.4996,48.0
,,,,,,,2026-06-02 20:46:08 UTC,activity,270.0,0.58,338.0
,,,,,,,2026-06-02 20:46:08 UTC,structure,9.0,0.4996,48.0
,,,,,,,2026-06-02 21:46:31 UTC,activity,270.0,0.58,338.0
,,,,,,,2026-06-02 21:46:31 UTC,structure,9.0,0.4996,48.0
,,,,,,,2026-06-02 22:46:05 UTC,activity,270.0,0.58,338.0
,,,,,,,2026-06-02 22:46:05 UTC,structure,9.0,0.4996,48.0
,,,,,,,2026-06-02 23:46:14 UTC,activity,270.0,0.58,338.0
,,,,,,,2026-06-02 23:46:15 UTC,structure,8.0,0.4996,47.0
,,,,,,,2026-06-03 00:46:04 UTC,activity,270.0,0.58,338.0
,,,,,,,2026-06-03 00:46:04 UTC,structure,8.0,0.4996,47.0
,,,,,,,2026-06-03 01:46:03 UTC,activity,270.0,0.58,338.0
,,,,,,,2026-06-03 01:46:03 UTC,structure,8.0,0.4996,47.0
,,,,,,,2026-06-03 02:46:04 UTC,activity,270.0,0.58,338.0
,,,,,,,2026-06-03 02:46:04 UTC,structure,8.0,0.4996,47.0
,,,,,,,2026-06-03 03:46:24 UTC,activity,270.0,0.58,338.0
,,,,,,,2026-06-03 03:46:25 UTC,structure,8.0,0.4996,47.0
,,,,,,,2026-06-03 04:46:06 UTC,activity,270.0,0.58,338.0
,,,,,,,2026-06-03 04:46:06 UTC,structure,8.0,0.4996,47.0
,,,,,,,2026-06-03 05:46:05 UTC,activity,270.0,0.58,338.0
,,,,,,,2026-06-03 05:46:05 UTC,structure,7.0,0.4996,47.0
,,,,,,,2026-06-03 06:46:06 UTC,activity,270.0,0.58,338.0
,,,,,,,2026-06-03 06:46:06 UTC,structure,8.0,0.4996,47.0
,,,,,,,2026-06-03 09:46:21 UTC,activity,270.0,0.58,338.0
,,,,,,,2026-06-03 09:46:21 UTC,structure,8.0,0.4996,47.0
,,,,,,,2026-06-03 10:27:01 UTC,activity,270.0,0.58,338.0
,,,,,,,2026-06-03 10:27:02 UTC,structure,8.0,0.4996,47.0
