name,rae,spearman,kendall,r2,mae,te_mean,te_std,boltz_sp,selectivity_sp,biomech_score
nb197_dense_grid,0.2976394149346741,0.8883844559238319,0.732002165885978,0.8495641836265682,0.2708017437440669,4.877586694637969,0.593319359085541,0.06785161672014017,0.2876927748196692,0.1777721957699047
nb204_multiseed_fast_baseline,0.2977582869607804,0.8883606178814025,0.7319663766437841,0.8494569801865522,0.27090989726922765,4.878210143271342,0.593636652424052,0.06763295844995108,0.2877179294092885,0.1776754439296198
nb196_fine_div15,0.2977597292741381,0.8883515038982357,0.7319525755634607,0.8494170574830148,0.27091120953149095,4.8782879025025485,0.5934814675168848,0.06809018533688307,0.2873247889503266,0.17770748714360485
nb195_expanded,0.29808026279331523,0.887983643411823,0.7315266134063665,0.848723788830055,0.2712028410546232,4.889178296318028,0.5938277902903036,0.06722577408583068,0.289377065698455,0.17830141989214285
nb194_constrained,0.2980993394753884,0.887986185453755,0.7315172567417407,0.8486784475381823,0.27122019762270877,4.888880472066436,0.5937344445127793,0.06718062026418187,0.28990637870616887,0.17854349948517537
nb202_ridge_baseline,0.2981824581135526,0.8880432972435416,0.731430707593951,0.8493968506461598,0.27129582158587723,4.900132737553872,0.5943410280019215,0.06139142034723646,0.2926777389526021,0.17703457964991925
nb188_diverse_refine,0.298519144172409,0.8876092752100609,0.7310267335987278,0.8482055501845447,0.2716021491999556,4.903310679835671,0.5953072145256848,0.06643984870980955,0.28819133345279546,0.17731559108130251
nb187_diversity_qreg,0.2992458563208321,0.8874387427065795,0.7308178460609545,0.8470362387003952,0.2722633348733523,4.88499145983663,0.5975414845037268,0.06394145575920997,0.3003026017134276,0.18212202873631878
nb192_poly_variant,0.29941555401215036,0.8872868602494273,0.7306639289278585,0.8470199102953376,0.2724177311945802,4.88976968736794,0.5967413274576086,0.06268070417207092,0.2981373515257015,0.18040902784888618
nb184_grand_v16,0.2997114051387842,0.886710654036743,0.7295490823376825,0.8488005369093438,0.2726869058971264,4.93871503781665,0.5932931761097723,0.06747580892893713,0.2737925974753681,0.1706342032021526
nb183_qreg_poly10,0.30002292315533163,0.8866048028386757,0.7293516567140758,0.8484357894624245,0.27297033483111777,4.941484960318763,0.594279710090805,0.06479751177554784,0.2766152446412725,0.17070637820841017
nb176_optuna_weights,0.30010050713467795,0.8862947646038872,0.7289568054668628,0.8486252816460661,0.27304092318682394,4.936285687193273,0.5928898873377834,0.06985696193710607,0.271728321188022,0.17079264156256402
nb175_bayes_blend,0.30010074202101616,0.8862529158969346,0.7289193788083593,0.8486425138828022,0.27304113689383575,4.936271842754579,0.5932347969653354,0.0701277959815232,0.2726383306881016,0.1713830633348124
nb170_grand_v15,0.300100900958793,0.8862521462017375,0.728917507475434,0.8486392117270651,0.2730412815004469,4.936291283995817,0.5932466465348321,0.07027516810021163,0.27228918853960454,0.17128217831990808
nb181_quantile_poly,0.300199007877276,0.8862435033776359,0.7288971567298727,0.8485996525252301,0.27313054227461003,4.9364878089587,0.5934705535662387,0.07010504129974743,0.27249406956106226,0.17129955543040484
nb173_softmax_sweep,0.30055384696747534,0.8858133755990655,0.7283729495942066,0.8485129675740972,0.2734533860901565,4.937035790449124,0.5944873271632541,0.07047240497076024,0.27680937052017207,0.17364088774546615
nb164_grand_v14,0.30131851926361575,0.8856826539211128,0.7282824238639509,0.8479159497575011,0.2741491091053125,4.932190420972081,0.5944493950143526,0.06987616119985439,0.26532616703074163,0.16760116411529802
nb180_nonlinear_6model,0.3024798387445066,0.8855740224783896,0.7280835947406505,0.8482893457415237,0.275205714261381,4.935131673479017,0.6186331919892526,0.07061399953352904,0.32061933266207027,0.19561666609779965
199_nb197_nb123_w05,0.3024805961283146,0.8871631107609814,0.7298033496988913,0.847887576476295,0.2752064033530994,4.887920999471147,0.585052959866173,0.06795943480214806,0.2682479215020366,0.16810367815209232
nb167_xgboost_mae,0.303789054420735,0.8841263033239746,0.7251441985484237,0.8460458875748624,0.27639688004880714,4.943460311108862,0.5921490321487755,0.06893130859330558,0.28516922727945027,0.17705026793637793
