model,rae,mae,spearman
crossattn_grover_esm2,0.8089319569136727,0.6460638975437452,0.6319138503091586
nb137_counter_delta_exp,0.82105712425527,0.6557478181802475,0.7282944954889695
chemberta_esm2_nr,0.8212612289513135,0.655910829017322,0.5790455636247467
lgbm_chemberta_emb,0.8319178510149497,0.664421877105163,0.558245815571126
chemberta,0.8349576181902492,0.6668496262033594,0.538988960841291
nb133_neighbor_aware,0.8358798834831725,0.6675862052253932,0.565353409130639
knn,0.8499978457112537,0.6788616970940164,0.4434548300982437
nb101_delta_base,0.8679395488805086,0.6931910687785359,0.44204540615018767
nb177_knn_only,0.8726930453208578,0.6969875097658959,0.4780757510052652
bert_smiles,0.9131216594917959,0.7292763417502601,0.4039532778496079
nb213_chemberta_zinc,0.9266586096593651,0.7400878008740693,0.41401931957600174
nb135_sc_neighborhood,0.9319466376219161,0.7443111523273123,0.7003579692017898
nb213_zinc_lgbm,0.9553762417774351,0.7630235066226898,0.33387557613999813
grand_v6,0.9594087618627027,0.7662441305836363,0.6135587374143724
aux_features,0.9753371329879014,0.7789655287713546,0.5526622143888954
gp_uncertainty,4.89821111615075,3.9120192219457173,-0.06733537732279099
ensemble_uncertainty,5.441288647072871,4.3457550674606225,-0.1014107019553381
boltz_iptm_adjustment,5.992075506436624,4.78564806715627,0.11310254576857735
boltz_pseudo_pec50,,,
nb132_seed_ensemble,0.6586828737703991,0.5260655374489459,0.7380033646511611
nb305_mope,0.6600968418197544,0.5271948211929757,0.7516259410702691
oof_all_feature_fusion,0.6624935784272319,0.5291090056689117,0.7434480231894914
nb130_external_pxr,0.6630772562529069,0.5295751674613128,0.7419893215450268
nr_weighted,0.6729177027109073,0.5374343664185186,0.7277031599988588
oof_selectivity_aware,0.6729602392739175,0.5374683387909184,0.7193751851798014
oof_lgbm_chembl_all_nr_weighted,0.6746073163056028,0.538783798017805,0.7102839041129176
oof_delta_chemprop_cpu,0.6821212672077747,0.5447849114171702,0.731880300547422
nb264_chemprop_mt,0.6851493381022231,0.5472033191304347,0.7543966220195467
xgboost_dart,0.686183105886455,0.5480289510493223,0.7187375358198513
nb216_aux_stack,0.689773149641357,0.550896185605729,0.734081876664112
nb98_chembl_bayesian_fp,0.6899936231203638,0.5510722695815624,0.7253744986233294
oof_multi_nr_transfer,0.6900582295444403,0.5511238683319746,0.7180439393051351
nb97_pxr_features,0.6903146085647818,0.5513286287295762,0.7235245374064608
oof_lgbm_chembl_pxr_direct,0.6904876767547873,0.5514668518624617,0.7200773034465681
oof_pseudo_label,0.6925243783667643,0.5530934897648482,0.7059163746044459
nb303_dann,0.6931053413000008,0.5535574832735325,0.7402423623746814
nb286_clean_v2,0.6939020301424328,0.5541937690504414,0.7194911031426742
nb131_pseudo_label,0.693921164363641,0.5542090508419747,0.707587008517296
oof_free_wilson,0.6970052492754975,0.5566721948697022,0.7136915470730993
nb315_v1_nb107_enh,0.697666506831105,0.5572003167098704,0.7320114614268075
nb315_v3_nb117_enh,0.7006328787425609,0.5595694477378883,0.7234359852873278
nb93_chemprop_large_gpu,0.7017965200807301,0.5604988048387611,0.7470894048917515
nb130_struct_ext,0.7028828874707266,0.5613664461083969,0.7027829083641279
oof_tox21_bio_fp,0.7033621806306365,0.5617492397467381,0.7113476947482625
oof_smiles_aug,0.7034397806581637,0.5618112160054398,0.7166126029711579
oof_3d_shape_conformer,0.7040374088317652,0.5622885194223948,0.7113747420482488
oof_lgbm_cliff_aware_external,0.7056941041229748,0.56361166039579,0.7048807418010085
oof_bio_nr_fingerprint,0.705757835210781,0.5636625600476467,0.7010471195850014
nb267_quantile,0.7084986491417974,0.5658515462974552,0.7166074683181936
nb319_ood_blend,0.7092895781224168,0.5664832318867461,0.726224080251665
oof_3d_shape,0.7095379394975665,0.5666815888890343,0.709043857606967
oof_lgbm_counter_soft,0.7095379394975665,0.5666815888890343,0.709043857606967
oof_lgbm_full_metrics_baseline,0.7095379394975665,0.5666815888890343,0.709043857606967
oof_lgbm_pubchem_pxr_fixed,0.7095379394975665,0.5666815888890343,0.709043857606967
oof_multitask_lgbm_heads,0.7095379394975665,0.5666815888890343,0.709043857606967
nb276_combined,0.7099674991861777,0.5670246622517319,0.7123265847011898
oof_pxr_pharmacophore,0.7103179955342019,0.5673045906619572,0.7006106576756342
oof_multi_fp_ensemble,0.7108685674508652,0.5677443119949044,0.7101560778084802
oof_stochastic_ensemble,0.7114546878604595,0.5682124245883259,0.7120338810438043
nb294_hetnll,0.7153739491949956,0.5713425929932726,0.7334212556247216
nb258_cross_target,0.7218455602892191,0.5765112283169078,0.7071546222284745
nb257_ext_knn,0.7224638965792747,0.5770050705370499,0.7072687396037591
nb129_final_blend,0.7224673373500254,0.5770078185528041,0.6713554828863846
nb246_base,0.7236970873114016,0.5779899741547193,0.702486184148654
nb246_tta_median,0.7236970873114016,0.5779899741547193,0.702486184148654
nb281_unweighted,0.7236970873114016,0.5779899741547193,0.702486184148654
nb246_confidence_shrunk,0.7236970873636341,0.5779899741964355,0.702486184148654
nb309_novartis,0.7237636068994664,0.5780431008781239,0.7018885499722454
nb228_medchem,0.7238577973340411,0.5781183272785061,0.7071405428120434
nb317_external_mt,0.7243102663582611,0.5784796974763416,0.700232736497744
nb314_tdc,0.7248527620482572,0.5789129686271277,0.6979400146852099
nb296_tda,0.7260750315871295,0.5798891498935294,0.7067537293711439
nb99_sc_bio_fp,0.727941258303133,0.5813796358306181,0.7140605759879803
nb245_massive_mean,0.7279936725019484,0.581421497103725,0.705317628895161
nb220_mmp_features,0.7281015855541658,0.5815076832489449,0.6955183550590427
nb310_az,0.7281105391373315,0.5815148341431424,0.7011545677630291
nb245_massive_trim,0.7281640836447186,0.5815575981517082,0.7053602376554134
nb280_combined,0.7283830868847938,0.5817325079023348,0.7009007677563087
nb295_rag,0.7287049696924365,0.5819895837410141,0.6348082819186472
nb275_combined,0.7290725880020815,0.5822831868258073,0.7023305695459934
oof_graph_spreading,0.7291397953697568,0.5823368628532319,0.6839276607375329
nb308_active,0.7297975172397835,0.5828621608726975,0.6726526417528491
nb291,0.7301964654549028,0.5831807859889082,0.7160450326828628
nb313_admet,0.7302715060962478,0.5832407181609619,0.7005558220537441
nb132_tanimoto,0.731318800094459,0.5840771529643786,0.7024565432719568
nb263_pxr_active_knn,0.7318409814233527,0.5844941997897467,0.6974635375923012
nb128_et_aug,0.7319943010788307,0.5846166505018758,0.672896437963684
nb298_pose_ifp,0.7334834022079733,0.5858059402451086,0.7008007297974553
nb283_rnn_transformer_mpnn,0.7339332064324727,0.5861651821664199,0.6782543969376749
nb125_ridge,0.7339665900640079,0.5861918444325344,0.6802277383037959
nb251_smarts,0.7342871755815014,0.5864478841737731,0.6974305621169755
nb315_v2_nb145_enh,0.7344159703779576,0.5865507477922404,0.656809529578968
nb115_extreme_weighted,0.7346748528708775,0.586757507620372,0.6766904701809351
nb124_scaffold_specific,0.7363830502105629,0.5881217813662896,0.6821128980617424
nb128_rf_et_aug,0.7376415754873744,0.5891269187434756,0.6698927056213742
nb281_relabeled,0.7377742162149558,0.589232853964234,0.6913645567008786
nb319_strict_ood,0.7382227020558056,0.5895910429415099,0.7587397514776145
nb123_fair_1.0,0.7390725261985823,0.5902697659085241,0.6596199187800169
nb118_et,0.7393264591085369,0.5904725726886466,0.6914634831268558
nb312_relabeled,0.7395494254560134,0.5906506476259026,0.6965669010722086
nb116_quantile_q50,0.7404252383345625,0.5913501268305482,0.673946466020685
nb268_gated,0.7404699518858342,0.5913858378825851,0.6605947331123984
nb288_gp_corrected,0.7409898506941832,0.5918010617436028,0.6607659091753253
nb302_full_pool,0.7422746054881567,0.5928271476615697,0.6585232063422177
nb317_anchored,0.7422747573667317,0.5928272689613443,0.658665112039406
nb304_cel,0.7423068173433498,0.592852874073458,0.6584328016682911
nb265_5cls,0.7427592165425242,0.593214188504624,0.6917784174417643
nb109_deep_meta_stack,0.742958711288211,0.5933735175456346,0.6730450128581291
nb117_knn_residual,0.742958711288211,0.5933735175456346,0.6730450128581291
nb122_nonlinear_meta,0.7437111972353837,0.5939745001124901,0.6691068518779377
nb107_assay_decomp,0.7439500623432751,0.5941652727989596,0.6606573494644215
nb123_mse_reference,0.7439849947155796,0.594193171986782,0.6629945325920014
nb123_lad_l1,0.7440479936850641,0.5942434869229377,0.6627399915633636
nb109_deep_meta_stack_calib,0.7441261672821375,0.5943059212703246,0.6730450128581291
nb292_molrule,0.7442950849289286,0.594440829518561,0.6559174027695688
nb107_assay_decomp_calib,0.7447127733212566,0.5947744217180035,0.6606573494644215
nb121_test_sim_weighted,0.7448248151265504,0.5948639053448986,0.6629949031029602
nb250_hbond_corr,0.7449341467024203,0.5949512244122533,0.65468211923321
nb269_routed,0.7454121573359932,0.5953329937444624,0.6546328412757008
nb314_slsqp5,0.7454122186405655,0.5953330427061465,0.6546328412757008
nb239_full_slsqp,0.745412218640566,0.5953330427061468,0.6546328412757008
nb128_rf_aug,0.7454186224300159,0.5953381571748432,0.6660004880000636
nb297_pysr,0.7456860576850324,0.5955517477762773,0.6546328412757008
nb272_D_pxr_papyrus_nr_pubchem,0.7459577010422752,0.5957686992326047,0.6193272225306204
nb120_huber_1_0,0.7460841977755746,0.5958697274734147,0.6486620571759939
nb217_pxr_modes,0.7468884821936711,0.5965120795543878,0.6846768338960564
nb223_pool_plus_nb219,0.7474848023716283,0.5969883383238211,0.649589075594701
nb272_B_pxr_papyrus,0.7475759735089913,0.5970611533237044,0.693504257487463
nb219_aug_30pct,0.7479729564067098,0.5973782088139298,0.7343115934585159
nb284_multimetric_biomech,0.7480563691963682,0.5974448275097682,0.6433993195183931
nb125_enet,0.7484923434502876,0.5977930239474396,0.6697971137940254
nb123_huber_1.0,0.7490401247935101,0.5982305165530655,0.6592809012527917
nb299_nrclip,0.74984210543215,0.5988710286909851,0.696432405594195
nb120_huber_2_0,0.7501893781890057,0.5991483825387189,0.6508951267241746
nb126_classifier_conditioned,0.7507385810126035,0.5995870104279043,0.6740290899644786
nb224_pool_plus_2,0.7509481358150754,0.5997543740624807,0.6435867980635033
nb120_huber_0_5,0.7513164187634646,0.6000485079695438,0.6440547534043615
nb248_personalized,0.7515326464535486,0.60022120099152,0.6495583231851276
nb242_huber,0.7518803273873399,0.6004988808350062,0.6431996141116453
nb127_exhaustive_blend,0.7525520825815862,0.601035386749108,0.6541178310430856
nb110_scaffold_prior,0.7543111489948772,0.6024402877340376,0.6302758213606755
nb273_combined,0.7549100624782225,0.6029186176801283,0.6758249565813745
nb272_A_full_pxr,0.7554640267196213,0.6033610483367975,0.6711024239015816
nb125_2way,0.7600257682966298,0.6070043418395957,0.6485238565883928
nb293_conformal,0.7601500182850243,0.6071035756887295,0.6529796213779103
nb243_greedy,0.7611061839212089,0.6078672296553347,0.6595054308937738
nb270_per_compound,0.7620671591004397,0.6086347248252688,0.6237322273187939
nb242_nonlin_stack,0.762817844719159,0.609234269536681,0.6337278719630316
