file,te_rae,pred_oof_rae,gap,flag
te_nb582,0.5235853993988773,0.5808984564434646,0.0573130570445873,CONTAMINATED
te_nb423,0.5268220832876118,,,ok
te_nb464,0.5488842103001169,,,ok
te_nb463,0.5489456868974095,,,ok
te_nb471,0.5506408640870192,,,ok
te_nb453,0.551855789583967,,,ok
te_nb432,0.5518557895839671,,,ok
te_nb435,0.5518557895839671,,,ok
te_nb444,0.5518557895839671,,,ok
te_nb470,0.5535783283557826,,,ok
te_nb429,0.5539555453016161,,,ok
te_nb424,0.5555997015537794,,,ok
te_nb427_simple,0.558392261164274,,,ok
te_nb450,0.5605541411012626,,,ok
te_nb330_clean_top50,0.5609160059881515,,,ok
te_nb702,0.5611159172763965,0.5611159172763965,0.0,ok
te_nb420_frontier,0.5616516103209556,,,ok
te_nb421_refrontier,0.5616642703646205,,,ok
te_nb451,0.563400839270973,,,ok
te_nb443,0.5673968176051946,,,ok
te_nb430,0.5691312148978754,,,ok
te_nb400_crossfit,0.5697531167798979,,,ok
te_nb460a,0.5757299865379645,,,ok
te_nb426_external,0.5811105881138061,,,ok
te_nb390_pcs_iso,0.5824725331639368,,,ok
te_nb425_scaffold,0.5833804391683537,,,ok
te_nb434,0.5845178761358468,,,ok
te_nb320_phase2_top20,0.5847956524106144,,,ok
te_nb431,0.5956436168656284,,,ok
te_nb460,0.5989369156017532,,,ok
te_chemprop_aux,0.6215728863514471,,,ok
te_chemprop_aux_BAD4141,0.6215728863514471,,,ok
te_nb540,0.6234235770463352,,,"oof_bad_shape:(4139,)"
te_nb541,0.6269056041202465,,,"oof_bad_shape:(4139,)"
te_nb460b,0.6397610704220194,,,ok
te_grand_v6b_calib,0.640877097049417,,,ok
te_nb306_cepsmim,0.6486200873438499,,,ok
te_grand_v6c,0.6488075850474848,,,ok
te_grand_v6b,0.6488075850474848,,,ok
te_nb132_seed_ensemble,0.6586828737703991,,,ok
te_nb305_mope,0.6600968418197544,,,ok
te_oof_all_feature_fusion,0.6624935784272319,,,ok
te_nb130_external_pxr,0.6630772562529069,,,ok
te_deep_ensemble,0.6656548398180969,,,ok
te_nb433,0.6692786799271921,,,ok
te_nr_weighted,0.6729177027109075,,,ok
te_oof_selectivity_aware,0.6729602392739173,,,ok
te_oof_lgbm_chembl_all_nr_weighted,0.6746073163056029,,,ok
te_grand15,0.6768964247566899,,,ok
te_morgan_protbert_nr,0.6784770094314685,,,ok
te_nb147_pseudo_iter,0.6788825868441788,,,ok
te_catboost,0.6791665905634746,,,ok
te_nb417_tox21,0.6798750487465034,,,ok
te_morgan_esm2_nr,0.6799458252133466,,,ok
te_oof_delta_chemprop_cpu,0.6821212672077747,,,ok
te_nb264_chemprop_mt,0.6851493381022231,,,ok
te_xgboost_dart,0.6861831058864551,,,ok
te_aug_lgbm_pap,0.687128234454397,,,ok
te_grand25,0.6882913390232956,,,ok
te_grand24,0.6891173920725686,,,ok
te_nb216_aux_stack,0.6897731496413572,,,ok
te_nb98_chembl_bayesian_fp,0.6899936231203638,,,ok
te_oof_multi_nr_transfer,0.6900582295444403,,,ok
te_hard_negatives,0.6902814351352894,,,ok
te_nb97_pxr_features,0.6903146085647819,,,ok
te_lgbm_all_external,0.6904265738565217,,,ok
te_lgbm_base,0.6904265738565217,,,ok
te_lgbm_pubchem,0.6904265738565217,,,ok
te_lgbm_bindingdb,0.6904265738565217,,,ok
te_oof_lgbm_chembl_pxr_direct,0.6904876767547874,,,ok
te_oof_pseudo_label,0.6925243783667643,,,ok
te_nb303_dann,0.6931053413000008,,,ok
te_nb286_clean_v2,0.6939020301424328,,,ok
te_nb131_pseudo_label,0.6939211643636409,,,ok
te_grand23,0.6956106278103422,,,ok
te_oof_free_wilson,0.6970052492754975,,,ok
te_grand18,0.6972014408396037,,,ok
te_nb315_v1_nb107_enh,0.697666506831105,,,ok
te_nb100_emax_corrected,0.6996522268017217,,,ok
te_nb315_v3_nb117_enh,0.7006328787425609,,,ok
te_nb93_chemprop_large_gpu,0.7017965200807301,,,ok
te_nb711,0.702021906314338,,,"oof_bad_shape:(4139,)"
te_nb130_struct_ext,0.7028828874707266,,,ok
te_nb712_raw,0.7030139122973601,,,ok
te_oof_tox21_bio_fp,0.7033621806306365,,,ok
te_oof_smiles_aug,0.7034397806581637,,,ok
te_oof_3d_shape_conformer,0.7040374088317652,,,ok
te_aug_lgbm_ext,0.7048439194783042,,,ok
te_oof_lgbm_cliff_aware_external,0.705694104122975,,,ok
te_oof_bio_nr_fingerprint,0.705757835210781,,,ok
te_lgbm_cliff_oversample,0.7070442903174783,,,ok
te_nb267_quantile,0.7084986491417974,,,ok
te_nb392_mmd_match,0.709213712242761,,,ok
te_nb319_ood_blend,0.7092895781224168,,,ok
te_oof_3d_shape,0.7095379394975665,,,ok
te_oof_lgbm_counter_soft,0.7095379394975665,,,ok
te_oof_lgbm_pubchem_pxr_fixed,0.7095379394975665,,,ok
te_oof_lgbm_full_metrics_baseline,0.7095379394975665,,,ok
te_oof_multitask_lgbm_heads,0.7095379394975665,,,ok
te_nb276_combined,0.7099674991861777,,,ok
te_oof_pxr_pharmacophore,0.7103179955342018,,,ok
te_oof_multi_fp_ensemble,0.7108685674508652,,,ok
te_oof_stochastic_ensemble,0.7114546878604595,,,ok
te_nb175_eng_v2,0.7148096674881773,,,ok
te_nb294_hetnll,0.7153739491949956,,,ok
te_nb155_tta,0.7154244317514084,,,ok
te_nb172_brute_ensemble,0.7166812807137718,,,ok
te_nb153_counter_multi,0.7200071023193341,,,ok
te_nb154_goss_aux,0.7202836054324798,,,ok
te_nb174_engineered,0.7208887968841441,,,ok
te_nb139_adaptive_blend,0.7212631963979831,,,ok
te_nb258_cross_target,0.7218455602892191,,,ok
te_nb257_ext_knn,0.7224638965792748,,,ok
te_nb129_final_blend,0.7224673373500254,,,ok
te_nb152_top3d,0.7228197819478379,,,ok
te_nb246_tta_median,0.7236970873114016,,,ok
te_nb281_unweighted,0.7236970873114016,,,ok
te_nb246_base,0.7236970873114016,,,ok
te_nb246_confidence_shrunk,0.7236970873636341,,,ok
