iter	Passed	Remaining
615	46800	105150
616	46885	105092
617	46961	105018
618	47026	104916
619	47107	104851
620	47189	104790
621	47266	104716
622	47343	104643
623	47416	104560
624	47499	104498
625	47574	104419
626	47638	104317
627	47707	104226
628	47788	104162
629	47853	104061
630	47921	103968
631	47989	103876
632	48074	103818
633	48148	103738
634	48213	103640
635	48291	103569
636	48384	103529
637	48453	103437
638	48520	103342
639	48610	103297
640	48693	103237
641	48761	103144
642	48841	103076
643	48903	102970
644	48988	102914
645	49065	102840
646	49127	102734
647	49191	102633
648	49279	102583
649	49355	102508
650	49422	102413
651	49498	102337
652	49593	102301
653	49675	102237
654	49743	102145
655	49831	102092
656	49917	102038
657	49999	101974
658	50072	101892
659	50146	101813
660	50238	101769
661	50312	101689
662	50390	101618
663	50463	101535
664	50549	101479
665	50624	101400
666	50695	101314
667	50769	101234
668	50862	101193
669	50933	101106
670	51020	101051
671	51095	100975
672	51181	100918
673	51258	100844
674	51341	100781
675	51412	100695
676	51508	100659
677	51579	100572
678	51642	100470
679	51717	100391
680	51799	100328
681	51884	100268
682	51950	100173
683	52018	100082
684	52104	100024
685	52190	99968
686	52264	99887
687	52336	99805
688	52427	99757
689	52497	99668
690	52560	99568
691	52631	99482
692	52717	99425
693	52794	99351
694	52866	99266
695	52949	99204
696	53039	99154
697	53116	99079
698	53186	98991
699	53258	98908
700	53344	98851
701	53416	98767
702	53484	98676
703	53549	98579
704	53642	98534
705	53714	98451
706	53790	98374
707	53862	98291
708	53948	98233
709	54017	98143
710	54089	98061
711	54172	97996
712	54269	97958
713	54348	97888
714	54414	97794
715	54488	97713
716	54571	97649
717	54636	97554
718	54711	97476
719	54788	97401
720	54866	97329
721	54940	97248
722	55014	97170
723	55089	97092
724	55186	97052
725	55254	96962
726	55328	96882
727	55402	96802
728	55491	96748
729	55565	96669
730	55655	96616
731	55724	96527
732	55814	96476
733	55893	96404
734	55963	96318
735	56041	96245
736	56134	96198
737	56216	96131
738	56290	96052
739	56365	95974
740	56452	95916
741	56531	95845
742	56611	95774
743	56685	95694
744	56766	95626
745	56843	95551
746	56909	95458
747	56981	95374
748	57074	95327
749	57149	95248
750	57232	95185
751	57305	95103
752	57395	95049
753	57472	94973
754	57549	94899
755	57630	94831
756	57718	94773
757	57801	94709
758	57875	94629
759	57949	94548
760	58040	94497
761	58114	94417
762	58187	94336
763	58268	94266
764	58357	94210
765	58423	94118
766	58510	94059
767	58592	93992
768	58681	93936
769	58755	93856
770	58847	93804
771	58920	93723
772	59010	93668
773	59087	93593
774	59179	93541
775	59253	93461
776	59333	93390
777	59406	93309
778	59487	93240
779	59557	93153
780	59653	93108
781	59735	93040
782	59807	92957
783	59885	92883
784	59979	92835
785	60050	92750
